,task,gt_path,obj_id
0,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_139.nii.gz,1
1,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_139.nii.gz,2
2,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_268.nii.gz,1
3,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_268.nii.gz,2
4,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_050.nii.gz,1
5,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_050.nii.gz,2
6,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_443.nii.gz,1
7,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_443.nii.gz,2
8,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_209.nii.gz,1
9,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_209.nii.gz,2
10,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_300.nii.gz,1
11,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_300.nii.gz,2
12,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_085.nii.gz,1
13,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_085.nii.gz,2
14,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_242.nii.gz,1
15,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_242.nii.gz,2
16,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_164.nii.gz,1
17,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_164.nii.gz,2
18,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_279.nii.gz,1
19,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_279.nii.gz,2
20,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_070.nii.gz,1
21,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_070.nii.gz,2
22,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_320.nii.gz,1
23,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_320.nii.gz,2
24,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_287.nii.gz,1
25,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_287.nii.gz,2
26,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_154.nii.gz,1
27,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_154.nii.gz,2
28,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_350.nii.gz,1
29,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_350.nii.gz,2
30,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_349.nii.gz,1
31,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_349.nii.gz,2
32,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_213.nii.gz,1
33,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_213.nii.gz,2
34,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_329.nii.gz,1
35,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_329.nii.gz,2
36,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_427.nii.gz,1
37,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_427.nii.gz,2
38,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_441.nii.gz,1
39,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_441.nii.gz,2
40,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_374.nii.gz,1
41,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_374.nii.gz,2
42,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_042.nii.gz,1
43,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_042.nii.gz,2
44,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_401.nii.gz,1
45,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_401.nii.gz,2
46,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_068.nii.gz,1
47,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_068.nii.gz,2
48,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_444.nii.gz,1
49,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_444.nii.gz,2
50,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_325.nii.gz,1
51,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_325.nii.gz,2
52,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_259.nii.gz,1
53,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_259.nii.gz,2
54,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_406.nii.gz,1
55,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_406.nii.gz,2
56,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_362.nii.gz,1
57,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_362.nii.gz,2
58,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_285.nii.gz,1
59,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_285.nii.gz,2
60,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_327.nii.gz,1
61,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_327.nii.gz,2
62,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_098.nii.gz,1
63,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_098.nii.gz,2
64,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_183.nii.gz,1
65,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_183.nii.gz,2
66,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_214.nii.gz,1
67,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_214.nii.gz,2
68,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_007.nii.gz,1
69,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_007.nii.gz,2
70,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_198.nii.gz,1
71,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_198.nii.gz,2
72,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_286.nii.gz,1
