,task,gt_path,obj_id,n_pos
0,Sarcoma,/data/datasets/nii/Sarcoma/labelsTs/STS_045_Mass.nii.gz,1,58
1,Sarcoma,/data/datasets/nii/Sarcoma/labelsTs/STS_005_Mass.nii.gz,1,47
2,Sarcoma,/data/datasets/nii/Sarcoma/labelsTs/STS_044_Mass.nii.gz,1,37
3,Sarcoma,/data/datasets/nii/Sarcoma/labelsTs/STS_026_Mass.nii.gz,1,36
4,Sarcoma,/data/datasets/nii/Sarcoma/labelsTs/STS_020_Mass.nii.gz,1,81
5,Sarcoma,/data/datasets/nii/Sarcoma/labelsTs/STS_034_Edema.nii.gz,2,51
6,Sarcoma,/data/datasets/nii/Sarcoma/labelsTs/STS_009_Mass.nii.gz,1,67
7,Sarcoma,/data/datasets/nii/Sarcoma/labelsTs/STS_050_Edema.nii.gz,2,48
8,Sarcoma,/data/datasets/nii/Sarcoma/labelsTs/STS_034_Mass.nii.gz,1,39
9,Sarcoma,/data/datasets/nii/Sarcoma/labelsTs/STS_025_Mass.nii.gz,1,15
10,Sarcoma,/data/datasets/nii/Sarcoma/labelsTs/STS_005_Edema.nii.gz,2,50
11,Sarcoma,/data/datasets/nii/Sarcoma/labelsTs/STS_014_Edema.nii.gz,2,88
12,Sarcoma,/data/datasets/nii/Sarcoma/labelsTs/STS_002_Mass.nii.gz,1,16
13,Sarcoma,/data/datasets/nii/Sarcoma/labelsTs/STS_002_Edema.nii.gz,2,16
14,Sarcoma,/data/datasets/nii/Sarcoma/labelsTs/STS_050_Mass.nii.gz,1,25
15,Sarcoma,/data/datasets/nii/Sarcoma/labelsTs/STS_009_Edema.nii.gz,2,69
16,Sarcoma,/data/datasets/nii/Sarcoma/labelsTs/STS_014_Mass.nii.gz,1,44
17,Sarcoma,/data/datasets/nii/Sarcoma/labelsTs/STS_020_Edema.nii.gz,2,94
