,obj_id,vol_avg_dice,global_allres_sim,global_lowres_sim,global_masked_allres_sim,global_masked_lowres_sim,local_allres_sim,local_lowres_sim,local_masked_allres_sim,local_masked_lowres_sim
0,liver_92.nii.gz_1,tensor(0.5722),"[172, 0]","[172, 0]","[161, 11]","[151, 21]","[172, 0]","[172, 0]","[168, 4]","[171, 1]"
1,liver_92.nii.gz_2,tensor(0.0011),"[36, 2]","[37, 1]","[3, 35]","[14, 24]","[38, 0]","[38, 0]","[31, 7]","[35, 3]"
2,liver_60.nii.gz_1,tensor(0.7809),"[71, 1]","[61, 11]","[62, 10]","[51, 21]","[72, 0]","[72, 0]","[65, 7]","[67, 5]"
3,liver_60.nii.gz_2,tensor(0.5373),"[11, 0]","[11, 0]","[6, 5]","[5, 6]","[11, 0]","[11, 0]","[7, 4]","[7, 4]"
4,liver_34.nii.gz_1,tensor(0.4650),"[91, 0]","[85, 6]","[86, 5]","[79, 12]","[91, 0]","[91, 0]","[91, 0]","[88, 3]"
5,liver_70.nii.gz_1,tensor(0.0436),"[103, 0]","[102, 1]","[92, 11]","[89, 14]","[103, 0]","[103, 0]","[97, 6]","[101, 2]"
6,liver_70.nii.gz_2,tensor(0.),"[44, 0]","[43, 1]","[31, 13]","[33, 11]","[44, 0]","[44, 0]","[30, 14]","[33, 11]"
7,liver_125.nii.gz_1,tensor(0.7821),"[105, 0]","[92, 13]","[85, 20]","[82, 23]","[105, 0]","[105, 0]","[97, 8]","[103, 2]"
8,liver_125.nii.gz_2,tensor(0.),"[2, 0]","[2, 0]","[1, 1]","[1, 1]","[2, 0]","[2, 0]","[2, 0]","[2, 0]"
9,liver_88.nii.gz_1,tensor(0.6064),"[168, 0]","[167, 1]","[156, 12]","[145, 23]","[168, 0]","[168, 0]","[166, 2]","[161, 7]"
10,liver_88.nii.gz_2,tensor(0.),"[95, 0]","[94, 1]","[53, 42]","[52, 43]","[95, 0]","[95, 0]","[76, 19]","[85, 10]"
11,liver_76.nii.gz_1,tensor(0.5873),"[67, 1]","[65, 3]","[59, 9]","[56, 12]","[68, 0]","[68, 0]","[63, 5]","[63, 5]"
12,liver_76.nii.gz_2,tensor(0.),"[51, 1]","[50, 2]","[11, 41]","[15, 37]","[52, 0]","[52, 0]","[37, 15]","[34, 18]"
13,liver_30.nii.gz_1,tensor(0.6547),"[111, 5]","[101, 15]","[88, 28]","[103, 13]","[116, 0]","[114, 2]","[112, 4]","[115, 1]"
14,liver_30.nii.gz_2,tensor(0.),"[10, 1]","[10, 1]","[8, 3]","[6, 5]","[11, 0]","[11, 0]","[9, 2]","[9, 2]"
15,liver_96.nii.gz_1,tensor(0.6083),"[292, 0]","[290, 2]","[224, 68]","[189, 103]","[292, 0]","[292, 0]","[280, 12]","[282, 10]"
16,liver_96.nii.gz_2,tensor(0.0139),"[204, 0]","[202, 2]","[36, 168]","[57, 147]","[204, 0]","[204, 0]","[128, 76]","[127, 77]"
17,liver_22.nii.gz_1,tensor(0.),"[39, 0]","[37, 2]","[35, 4]","[33, 6]","[39, 0]","[39, 0]","[34, 5]","[36, 3]"
18,liver_22.nii.gz_2,tensor(0.2682),"[5, 0]","[5, 0]","[2, 3]","[3, 2]","[5, 0]","[5, 0]","[4, 1]","[4, 1]"
19,liver_51.nii.gz_1,tensor(0.6049),"[49, 0]","[44, 5]","[36, 13]","[30, 19]","[49, 0]","[49, 0]","[44, 5]","[42, 7]"
20,liver_51.nii.gz_2,tensor(0.),"[27, 1]","[27, 1]","[13, 15]","[10, 18]","[28, 0]","[28, 0]","[22, 6]","[22, 6]"
21,liver_103.nii.gz_1,tensor(0.4863),"[207, 0]","[207, 0]","[175, 32]","[157, 50]","[207, 0]","[207, 0]","[204, 3]","[203, 4]"
22,liver_103.nii.gz_2,tensor(0.),"[57, 0]","[55, 2]","[25, 32]","[21, 36]","[57, 0]","[57, 0]","[32, 25]","[32, 25]"
23,liver_116.nii.gz_1,tensor(0.4779),"[211, 1]","[204, 8]","[146, 66]","[151, 61]","[212, 0]","[212, 0]","[189, 23]","[200, 12]"
24,liver_116.nii.gz_2,tensor(0.),"[125, 1]","[121, 5]","[57, 69]","[31, 95]","[126, 0]","[126, 0]","[96, 30]","[82, 44]"
25,liver_127.nii.gz_1,tensor(0.5804),"[220, 0]","[220, 0]","[193, 27]","[182, 38]","[220, 0]","[220, 0]","[212, 8]","[213, 7]"
26,liver_127.nii.gz_2,tensor(0.),"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
27,liver_105.nii.gz_1,tensor(0.),"[232, 0]","[232, 0]","[209, 23]","[175, 57]","[232, 0]","[232, 0]","[222, 10]","[228, 4]"
28,liver_9.nii.gz_1,tensor(0.6011),"[166, 0]","[165, 1]","[147, 19]","[121, 45]","[166, 0]","[166, 0]","[162, 4]","[163, 3]"
29,liver_9.nii.gz_2,tensor(0.),"[73, 0]","[69, 4]","[19, 54]","[27, 46]","[73, 0]","[73, 0]","[52, 21]","[55, 18]"
